in_stock,name,price,price_raw,url,вес,вид_фанеры,длина,допуск_по_толщине,индекс_звукоизоляции,каталог,количество_листов_в_упаковке,модуль_упругости_по_главной_оси_длине,обработка_торцов,объём,плотность,площадь_листа_м2,поверхность,прочность_на_изгиб_по_главной_оси,сорт,состав_древесина,теплопроводность,тип,толщина,фанера_транспортная,формат,ширина
0,Фанера облицованная HPL 12мм 2400*1200мм 1021-Мокко,10700.0,10 700,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/12mm-2440x1220mm_1021_mokko/,25.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,035 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,12 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 21мм 3000х1500мм сорт 1/1 сетка,6461.0,6 461,https://fanera-osb.ru/fanera/laminirovannaya/21mm-3000x1500mm-sort-1-1-setka/,61.4 кг,Ламинированная,3000 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,095 куб.м.",650 кг/куб.м.,"4,50 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,21 мм,Да,3000*1500 мм,1500 мм
0,Фанера облицованная HPL 09мм 2400*1200мм 1026-Желтый,10300.0,10 300,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/9mm-2440x1220mm_1026_zheltyy/,18.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,026 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,9 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 21мм 2400х1200мм 1014-Серый,11150.0,11 150,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1014_seryy/,39.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 2095-Дуб Флагстафф,10000.0,10 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_2095_dub_flagstaff/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 15мм 2440х1220мм сорт 1/1 гладкая,2870.0,2 870,https://fanera-osb.ru/fanera/laminirovannaya/15mm-2440x1220mm-sort-1-1-gladkaya/,29.0 кг,Ламинированная,2440 мм,"+0,6 -0,8 мм",23 дБ,Фанера,26,7000 МПа,обработаны краской,"0,045 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,15 мм,,2440*1220 мм,1000 мм
0,Фанера ламинированная 24мм 2440х1220мм сорт 1/2 сетка,4884.0,4 884,https://fanera-osb.ru/fanera/laminirovannaya/24mm-2440x1220mm-sort-1-2-setka/,46.4 кг,Ламинированная,2440 мм,"+0,9 -1,1 мм",23 дБ,Фанера,16,7000 МПа,обработаны краской,"0,071 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/2 сетка,береза,0.15 Вт/(м⋅К),,24 мм,Да,2440*1220 мм,1000 мм
0,Фанера ламинированная 24мм 2440х1220мм сорт 1/1 сетка,4884.0,4 884,https://fanera-osb.ru/fanera/laminirovannaya/24mm-2440x1220mm-sort-1-1-setka/,46.4 кг,Ламинированная,2440 мм,"+0,9 -1,1 мм",23 дБ,Фанера,16,7000 МПа,обработаны краской,"0,071 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,24 мм,Да,2440*1220 мм,1220 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1018-Белый супер,9000.0,9 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1018_belyy_super/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 15мм 2400х1200мм 1014-Серый,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/15mm-2440x1220mm_1014_seryy/,28.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,043 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,15 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 9мм 2400х1200мм 1014-Серый,9550.0,9 550,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/9mm-2440x1220mm_1014_seryy/,16.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,026 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,9 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 15мм 2440х1220мм сорт 1/2 сетка,3165.0,3 165,https://fanera-osb.ru/fanera/laminirovannaya/15mm-2440x1220mm-sort-1-2-setka/,29.0 кг,Ламинированная,2440 мм,"+0,6 -0,8 мм",23 дБ,Фанера,26,7000 МПа,обработаны краской,"0,045 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/2 сетка,береза,0.15 Вт/(м⋅К),,15 мм,Да,2440*1220 мм,1000 мм
0,Фанера ламинированная 21мм 2440х1220мм сорт 1/2 сетка,4109.0,4 109,https://fanera-osb.ru/fanera/laminirovannaya/21mm-2440x1220mm-sort-1-2-setka/,40.6 кг,Ламинированная,2440 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,063 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/2 сетка,береза,0.15 Вт/(м⋅К),,21 мм,Да,2440*1220 мм,1220 мм
0,Фанера облицованная HPL 18мм 2400*1200мм 1029-Манго,11300.0,11 300,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/18mm-2440x1220mm_1029_mango/,37.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,052 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,18 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 12мм 3000х1500мм сорт 1/1 сетка,4481.0,4 481,https://fanera-osb.ru/fanera/laminirovannaya/12mm-3000x1500mm-sort-1-1-setka/,35.1 кг,Ламинированная,3000 мм,"+0,5 -0,7 мм",23 дБ,Фанера,33,7000 МПа,обработаны краской,"0,054 куб.м.",650 кг/куб.м.,"4,50 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,12 мм,Да,3000*1500 мм,1500 мм
0,Фанера облицованная HPL 12мм 2400*1200мм 1019-Лайм,10700.0,10 700,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/12mm-2440x1220mm_1019_laym/,25.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,035 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,12 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 18мм 2440х1220мм сорт 1/2 гладкая,2470.0,2 470,https://fanera-osb.ru/fanera/laminirovannaya/18mm-2440x1220mm-sort-1-2-gladkaya/,34.0 кг,Ламинированная,2440 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,054 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/2 гладкая,береза,0.15 Вт/(м⋅К),,18 мм,,2440*1220 мм,1000 мм
0,Фанера ламинированная 18мм 2440х1220мм сорт 1/3 гладкая,2843.0,2 843,https://fanera-osb.ru/fanera/laminirovannaya/18mm-2440x1220mm-sort-1-3-gladkaya/,34.0 кг,Ламинированная,2440 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,054 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/3 гладкая,береза,0.15 Вт/(м⋅К),,18 мм,,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 15мм 2400*1200мм 1018-Белый Супер,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/15mm-2440x1220mm_1018_belyy_super/,31.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,043 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,15 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1021-Мокко,10000.0,10 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1021_mokko/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,"Древесно-волокнистая плита 2,2мм 2140х1220мм",170.0,170,https://fanera-osb.ru/dvp-orgalit/2mm-2140x1220mm/,4.0 кг,,2140 мм,"+0,3 - 0,3 мм",,Фанера,220,,не обработаны,"0,006 куб.м.",750 кг/куб.м.,"2,61 кв.м.",,,,лиственные и хвойные породы,,ДВП,"2,2 мм",,2140*1220 мм,1000 мм
0,Фанера ламинированная 9мм 2440х1220мм сорт 1/1 сетка,2239.0,2 239,https://fanera-osb.ru/fanera/laminirovannaya/9mm-2440x1220mm-sort-1-1-setka/,17.4 кг,Ламинированная,2440 мм,"+0,4 -0,6 мм",23 дБ,Фанера,44,7000 МПа,обработаны краской,"0,027 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,9 мм,Да,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 09мм 2400*1200мм 1021-Мокко,10300.0,10 300,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/9mm-2440x1220mm_1021_mokko/,18.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,026 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,9 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 12мм 2400*1200мм 1018-Белый Супер,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/12mm-2440x1220mm_1018_belyy_super/,25.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,035 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,12 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 15мм 2440х1220мм сорт 1/1 сетка,3039.0,3 039,https://fanera-osb.ru/fanera/laminirovannaya/15mm-2440x1220mm-sort-1-1-setka/,29.0 кг,Ламинированная,2440 мм,"+0,6 -0,8 мм",23 дБ,Фанера,26,7000 МПа,обработаны краской,"0,045 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,15 мм,Да,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 12мм 2400х1200мм 2095-Дуб Флагстафф,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/12mm-2440x1220mm_2095_dub_flagstaff/,24.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,035 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,12 мм,,2400*1200 мм,1200 мм
