in_stock,name,price,price_raw,url,вес,вид_фанеры,длина,допуск_по_толщине,индекс_звукоизоляции,каталог,количество_листов_в_упаковке,модуль_упругости_по_главной_оси_длине,обработка_торцов,объём,плотность,площадь_листа_м2,поверхность,прочность_на_изгиб_по_главной_оси,сорт,состав_древесина,теплопроводность,тип,толщина,фанера_транспортная,формат,ширина
0,Фанера ламинированная 18мм 3000х1500мм сорт 1/1 гладкая,4500.0,4 500,https://fanera-osb.ru/fanera/laminirovannaya/18mm-3000x1500mm-sort-1-1-gladkaya/,59.9 кг,Ламинированная,3000 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,081 куб.м.",650 кг/куб.м.,"4,50 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,18 мм,,3000*1500 мм,1500 мм
0,Фанера ламинированная 27мм 3000х1500мм сорт 1/1 сетка,9133.0,9 133,https://fanera-osb.ru/fanera/laminirovannaya/27mm-3000x1500mm-sort-1-1-setka/,79.0 кг,Ламинированная,3000 мм,"+1,0 -1,2 мм",23 дБ,Фанера,14,7000 МПа,обработаны краской,"0,122 куб.м.",650 кг/куб.м.,"4,50 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,27 мм,Да,3000*1500 мм,1500 мм
0,Фанера облицованная HPL 15мм 2400х1200мм 2095-Дуб Флагстафф,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/15mm-2440x1220mm_2095_dub_flagstaff/,30.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,043 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,15 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 12мм 2400х1200мм 1015-Черный,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/12mm-2440x1220mm_1015_chernyy/,23.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,035 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,12 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 21мм 2400*1200мм 1021-Мокко,11900.0,11 900,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1021_mokko/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1029-Манго,10000.0,10 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1029_mango/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 9мм 3000х1500мм сорт 1/1 гладкая,3480.0,3 480,https://fanera-osb.ru/fanera/laminirovannaya/9mm-3000x1500mm-sort-1-1-gladkaya.htm/,26.3 кг,Ламинированная,3000 мм,"+0,4 -0,6 мм",23 дБ,Фанера,44,7000 МПа,обработаны краской,"0,041 куб.м.",650 кг/куб.м.,"4,50 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,9 мм,,3000*1500 мм,1500 мм
0,Фанера ламинированная 12мм 2440х1220мм сорт 1/1 гладкая,2522.0,2 522,https://fanera-osb.ru/fanera/laminirovannaya/12mm-2440x1220mm-sort-1-1-gladkaya/,23.2 кг,Ламинированная,2440 мм,"+0,5 -0,7 мм",23 дБ,Фанера,33,7000 МПа,обработаны краской,"0,036 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,12 мм,,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1014-Серый,9000.0,9 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1014_seryy/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 21мм 2400*1200мм 1029-Манго,11900.0,11 900,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1029_mango/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
